2025-11-07 14:01:21,223 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,226 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,229 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,231 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,530 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,532 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,538 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,540 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,542 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,544 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,571 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,591 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,594 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:23,597 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,815 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,817 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,859 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,861 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,866 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,868 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,871 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,873 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,875 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,877 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
